file name	Accuracy	Precision	Recall	F1 Score
results/abbv_parsing_result_['abbv_1'].tsv	0.6774941995359629	0.4864864864864865	0.8120300751879699	60.84507042253521
results/abbv_parsing_result_['abbv_2'].tsv	0.678	0.44537815126050423	0.7851851851851852	56.83646112600537
results/abbv_parsing_result_['matching_1'].tsv	0.612	0.39649122807017545	0.837037037037037	53.80952380952381
results/abbv_parsing_result_['matching_2'].tsv	0.666	0.436	0.8074074074074075	56.62337662337662
results/abbv_parsing_result_['abbv_1', 'abbv_2'].tsv	0.7262180974477959	0.538860103626943	0.7819548872180451	63.80368098159509
results/abbv_parsing_result_['abbv_1', 'matching_1'].tsv	0.703016241299304	0.511520737327189	0.8345864661654135	63.42857142857143
results/abbv_parsing_result_['abbv_1', 'matching_2'].tsv	0.7494199535962877	0.5661375661375662	0.8045112781954887	66.45962732919256
results/abbv_parsing_result_['abbv_2', 'abbv_1'].tsv	0.7056367432150313	0.4838709677419355	0.7835820895522388	59.82905982905984
results/abbv_parsing_result_['abbv_2', 'matching_1'].tsv	0.71	0.4780701754385965	0.8074074074074075	60.05509641873279
results/abbv_parsing_result_['abbv_2', 'matching_2'].tsv	0.752	0.5276381909547738	0.7777777777777778	62.874251497005986
results/abbv_parsing_result_['matching_1', 'abbv_1'].tsv	0.6979405034324943	0.5045045045045045	0.835820895522388	62.92134831460674
results/abbv_parsing_result_['matching_1', 'abbv_2'].tsv	0.716	0.48444444444444446	0.8074074074074075	60.555555555555564
results/abbv_parsing_result_['matching_1', 'matching_2'].tsv	0.656	0.4280155642023346	0.8148148148148148	56.122448979591844
results/abbv_parsing_result_['matching_2', 'abbv_1'].tsv	0.7033898305084746	0.4864864864864865	0.8059701492537313	60.67415730337079
results/abbv_parsing_result_['matching_2', 'abbv_2'].tsv	0.744	0.5169082125603864	0.7925925925925926	62.57309941520468
results/abbv_parsing_result_['matching_2', 'matching_1'].tsv	0.668	0.43824701195219123	0.8148148148148148	56.994818652849744
results/abbv_parsing_result_['abbv_1', 'abbv_2', 'matching_1'].tsv	0.7563805104408353	0.5752688172043011	0.8045112781954887	67.08463949843261
results/abbv_parsing_result_['abbv_1', 'abbv_2', 'matching_2'].tsv	0.7842227378190255	0.6204819277108434	0.7744360902255639	68.89632107023411
results/abbv_parsing_result_['abbv_1', 'matching_1', 'abbv_2'].tsv	0.7610208816705336	0.5815217391304348	0.8045112781954887	67.50788643533123
results/abbv_parsing_result_['abbv_1', 'matching_1', 'matching_2'].tsv	0.740139211136891	0.5538461538461539	0.8120300751879699	65.85365853658536
results/abbv_parsing_result_['abbv_1', 'matching_2', 'abbv_2'].tsv	0.777262180974478	0.6069364161849711	0.7894736842105263	68.62745098039214
results/abbv_parsing_result_['abbv_1', 'matching_2', 'matching_1'].tsv	0.7517401392111369	0.5684210526315789	0.8120300751879699	66.87306501547987
results/abbv_parsing_result_['abbv_2', 'abbv_1', 'matching_1'].tsv	0.7348643006263048	0.5167464114832536	0.8059701492537313	62.973760932944614
results/abbv_parsing_result_['abbv_2', 'abbv_1', 'matching_2'].tsv	0.7724425887265136	0.5683060109289617	0.7761194029850746	65.61514195583595
results/abbv_parsing_result_['abbv_2', 'matching_1', 'abbv_1'].tsv	0.7215447154471545	0.4954545454545455	0.8074074074074075	61.40845070422536
results/abbv_parsing_result_['abbv_2', 'matching_1', 'matching_2'].tsv	0.732	0.5023696682464455	0.7851851851851852	61.27167630057803
results/abbv_parsing_result_['abbv_2', 'matching_2', 'abbv_1'].tsv	0.7550200803212851	0.5329949238578681	0.7777777777777778	63.25301204819278
results/abbv_parsing_result_['abbv_2', 'matching_2', 'matching_1'].tsv	0.754	0.53	0.7851851851851852	63.28358208955225
results/abbv_parsing_result_['matching_1', 'abbv_1', 'abbv_2'].tsv	0.7551487414187643	0.5714285714285714	0.8059701492537313	66.87306501547988
results/abbv_parsing_result_['matching_1', 'abbv_1', 'matching_2'].tsv	0.7368421052631579	0.5477386934673367	0.8134328358208955	65.46546546546547
results/abbv_parsing_result_['matching_1', 'abbv_2', 'abbv_1'].tsv	0.7276422764227642	0.5023041474654378	0.8074074074074075	61.93181818181819
results/abbv_parsing_result_['matching_1', 'abbv_2', 'matching_2'].tsv	0.738	0.5096153846153846	0.7851851851851852	61.807580174927104
results/abbv_parsing_result_['matching_1', 'matching_2', 'abbv_1'].tsv	0.6927966101694916	0.4759825327510917	0.8134328358208955	60.05509641873279
results/abbv_parsing_result_['matching_1', 'matching_2', 'abbv_2'].tsv	0.734	0.5046728971962616	0.8	61.891117478510026
results/abbv_parsing_result_['matching_2', 'abbv_1', 'abbv_2'].tsv	0.760593220338983	0.5549738219895288	0.7910447761194029	65.23076923076923
results/abbv_parsing_result_['matching_2', 'abbv_1', 'matching_1'].tsv	0.7055084745762712	0.48878923766816146	0.8134328358208955	61.06442577030813
results/abbv_parsing_result_['matching_2', 'abbv_2', 'abbv_1'].tsv	0.7469879518072289	0.5219512195121951	0.7925925925925926	62.94117647058823
results/abbv_parsing_result_['matching_2', 'abbv_2', 'matching_1'].tsv	0.746	0.5192307692307693	0.8	62.973760932944614
results/abbv_parsing_result_['matching_2', 'matching_1', 'abbv_1'].tsv	0.7055084745762712	0.48878923766816146	0.8134328358208955	61.06442577030813
results/abbv_parsing_result_['matching_2', 'matching_1', 'abbv_2'].tsv	0.746	0.5192307692307693	0.8	62.973760932944614
results/abbv_parsing_result_['abbv_1', 'abbv_2', 'matching_1', 'matching_2'].tsv	0.7703016241299304	0.5977011494252874	0.7819548872180451	67.75244299674267
